"latnum","longnum","start","end","severity","cause","flood"
23.41236667,90.79598333,NA,NA,NA,NA,"All Households"
23.41666667,90.7966,NA,NA,NA,NA,"All Households"
23.416,90.79578333,NA,NA,NA,NA,"All Households"
23.41548333,90.79561667,NA,NA,NA,NA,"All Households"
23.40933333,90.78428333,NA,NA,NA,NA,"All Households"
23.41526667,90.79631667,NA,NA,NA,NA,"All Households"
23.409,90.7841,NA,NA,NA,NA,"All Households"
23.26933333,90.75593333,NA,NA,NA,NA,"All Households"
23.27181667,90.75785,NA,NA,NA,NA,"All Households"
23.269,90.75938333,NA,NA,NA,NA,"All Households"
23.17373333,90.94251667,NA,NA,NA,NA,"All Households"
23.17358333,90.94241667,NA,NA,NA,NA,"All Households"
23.1715,90.93388333,NA,NA,NA,NA,"All Households"
23.1754,90.94163333,NA,NA,NA,NA,"All Households"
23.17573333,90.94085,NA,NA,NA,NA,"All Households"
23.17608333,90.94056667,NA,NA,NA,NA,"All Households"
23.1671,90.93353333,NA,NA,NA,NA,"All Households"
23.17558333,90.94041667,NA,NA,NA,NA,"All Households"
23.1774,90.94118333,NA,NA,NA,NA,"All Households"
23.17693333,90.9394,NA,NA,NA,NA,"All Households"
21.95733333,91.93348333,NA,NA,NA,NA,"All Households"
21.95683333,91.92486667,NA,NA,NA,NA,"All Households"
21.95426667,91.92636667,NA,NA,NA,NA,"All Households"
21.95816667,91.92385,NA,NA,NA,NA,"All Households"
21.95675,91.92746667,NA,NA,NA,NA,"All Households"
21.95758333,91.91948333,NA,NA,NA,NA,"All Households"
21.95716667,91.92598333,NA,NA,NA,NA,"All Households"
21.95608333,91.92736667,NA,NA,NA,NA,"All Households"
21.9586,91.9247,NA,NA,NA,NA,"All Households"
21.9582,91.92151667,NA,NA,NA,NA,"All Households"
21.95778333,91.92723333,NA,NA,NA,NA,"All Households"
22.341,91.93408333,NA,NA,NA,NA,"All Households"
22.34586667,91.94681667,NA,NA,NA,NA,"All Households"
22.34586667,91.94681667,NA,NA,NA,NA,"All Households"
22.34831667,91.9452,NA,NA,NA,NA,"All Households"
22.3495,91.9413,NA,NA,NA,NA,"All Households"
22.3468,91.94475,NA,NA,NA,NA,"All Households"
22.3468,91.94475,NA,NA,NA,NA,"All Households"
22.34661667,91.94538333,NA,NA,NA,NA,"All Households"
22.65801667,91.79955,NA,NA,NA,NA,"All Households"
22.6606,91.79478333,NA,NA,NA,NA,"All Households"
22.6634,91.79506667,NA,NA,NA,NA,"All Households"
22.65078333,91.78405,NA,NA,NA,NA,"All Households"
22.65976667,91.79536667,NA,NA,NA,NA,"All Households"
22.6571,91.79433333,NA,NA,NA,NA,"All Households"
21.99608333,92.1263,NA,NA,NA,NA,"All Households"
21.99513333,92.12788333,NA,NA,NA,NA,"All Households"
21.99343333,92.126,NA,NA,NA,NA,"All Households"
21.99433333,92.12708333,NA,NA,NA,NA,"All Households"
21.99413333,92.1278,NA,NA,NA,NA,"All Households"
21.99253333,92.12475,NA,NA,NA,NA,"All Households"
21.99283333,92.12656667,NA,NA,NA,NA,"All Households"
21.99653333,92.12548333,NA,NA,NA,NA,"All Households"
21.9977,92.1265,NA,NA,NA,NA,"All Households"
22.70316667,91.58415,NA,NA,NA,NA,"All Households"
22.70286667,91.60981667,NA,NA,NA,NA,"All Households"
